Year,Product line,Product type,Product,Order method type,Retailer country,Revenue,Planned revenue,Product cost,Quantity,Unit cost,Unit price,Gross profit,Unit sale price
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,United States,5819.7,6586.16,1733.2,619.0,2.8,10.64,4086.5,5.105
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,United States,10904.28,11363.52,2990.4,1068.0,2.8,10.64,7913.88,10.21
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,United Kingdom,27987.84,28855.68,7593.6,2712.0,2.8,10.64,20394.24,10.32
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,United Kingdom,8750.77,8926.96,2349.2,839.0,2.8,10.64,6401.57,10.43
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Mexico,13497.62,14598.08,3841.6,1372.0,2.8,10.64,9656.02,6.80666667
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Korea,8433.46,8788.64,2312.8,826.0,2.8,10.64,6120.66,10.21
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Singapore,7422.67,7735.28,2035.6,727.0,2.8,10.64,5387.07,10.21
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Finland,21185.75,22897.28,6025.6,2152.0,2.8,10.64,15160.15,7.6575
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Denmark,6013.69,6266.96,1649.2,589.0,2.8,10.64,4364.49,10.21
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,France,20542.05,22354.64,5882.8,2101.0,2.8,10.64,14659.25,6.86166667
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Germany,3962.88,4085.76,1075.2,384.0,2.8,10.64,2887.68,10.32
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Austria,0.0,127.68,33.6,12.0,2.8,10.64,-33.6,0.0
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Italy,0.0,851.2,224.0,80.0,2.8,10.64,-224.0,0.0
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Mexico,30444.0,33143.6,8722.0,3115.0,2.8,10.64,21722.0,5.89714286
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Australia,21183.33,22195.04,5840.8,2086.0,2.8,10.64,15342.53,8.69166667
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,France,16307.46,16758.0,4410.0,1575.0,2.8,10.64,11897.46,10.35666667
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Switzerland,12745.46,13566.0,3570.0,1275.0,2.8,10.64,9175.46,7.8225
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Austria,0.0,638.4,168.0,60.0,2.8,10.64,-168.0,0.0
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Mexico,23901.12,25184.88,6627.6,2367.0,2.8,10.64,17273.52,6.88
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Japan,16448.11,16779.28,4415.6,1577.0,2.8,10.64,12032.51,10.43
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,China,27162.24,28621.6,7532.0,2690.0,2.8,10.64,19630.24,6.88
