Geography,Gender,Age,Tenure,Balance,HasCrCard,EstimatedSalary,CreditScore,IsActiveMember,NumOfProducts,Churn
France,Female,42.0,2,0.0,1,101348.88,619,1,1,1
Spain,Female,41.0,1,83807.86,0,112542.58,608,1,1,0
France,Female,42.0,8,159660.8,1,113931.57,502,0,3,1
France,Female,39.0,1,0.0,0,93826.63,699,0,2,0
Spain,Female,43.0,2,125510.82,1,79084.1,850,1,1,0
Spain,Male,44.0,8,113755.78,1,149756.71,645,0,2,1
France,Male,50.0,7,0.0,1,10062.8,822,1,2,0
Germany,Female,29.0,4,115046.74,1,119346.88,376,0,4,1
France,Male,44.0,4,142051.07,0,74940.5,501,1,2,0
France,Male,27.0,2,134603.88,1,71725.73,684,1,1,0
France,Male,37.0,6,102016.72,0,80181.12,528,0,2,0
Spain,Male,37.0,3,0.0,1,76390.01,497,0,2,0
France,Female,37.0,10,0.0,1,26260.98,476,0,2,0
France,Female,25.0,5,0.0,0,190857.79,549,0,2,0
Spain,Female,35.0,7,0.0,1,65951.65,635,1,2,0
Germany,Male,45.0,3,143129.41,0,64327.26,616,1,2,0
Germany,Male,58.0,1,132602.88,1,5097.67,653,0,1,1
Spain,Female,24.0,9,0.0,1,14406.41,549,1,2,0
Spain,Male,45.0,6,0.0,0,158684.81,587,0,1,0
France,Female,24.0,6,0.0,1,54724.03,726,1,2,0
France,Male,41.0,8,0.0,1,170886.17,732,1,2,0
Spain,Female,32.0,8,0.0,1,138555.46,636,0,2,0
Spain,Female,38.0,4,0.0,1,118913.53,510,0,1,1
France,Male,46.0,3,0.0,0,8487.75,669,1,2,0
France,Female,38.0,5,0.0,1,187616.16,846,1,1,0
France,Male,25.0,3,0.0,0,124508.29,577,1,2,0
Germany,Male,36.0,2,136815.64,1,170041.95,756,1,1,0
France,Male,44.0,9,0.0,0,38433.35,571,0,2,0
Germany,Female,43.0,3,141349.43,1,100187.43,574,1,1,0
France,Male,29.0,0,59697.17,1,53483.21,411,1,2,0
Spain,Female,39.0,3,0.0,1,140469.38,591,0,3,1
France,Male,36.0,7,85311.7,0,156731.91,533,1,1,0
Germany,Male,41.0,9,110112.54,0,81898.81,553,0,2,0
Spain,Female,42.0,6,0.0,1,34410.55,520,1,2,0
Spain,Female,29.0,9,0.0,1,142033.07,722,1,2,0
France,Female,45.0,0,134264.04,1,27822.99,475,0,1,1
Spain,Male,31.0,3,145260.23,0,114066.77,490,1,1,0
Spain,Male,37.0,7,76548.6,0,98453.45,804,1,1,0
France,Male,37.0,7,0.0,1,40812.9,850,1,1,0
Germany,Male,37.0,6,70349.48,0,178074.04,582,1,2,0
Spain,Male,40.0,4,0.0,1,70154.22,472,0,1,0
France,Female,51.0,8,122522.32,0,181297.65,465,0,1,1
France,Female,61.0,2,117419.35,1,94153.83,556,1,1,0
France,Female,49.0,2,131394.56,0,194365.76,834,0,1,1
Spain,Female,61.0,5,155931.11,1,158338.39,660,1,1,0
Germany,Female,32.0,4,109421.13,1,126517.46,776,1,2,0
Germany,Female,27.0,9,112045.67,1,119708.21,829,1,1,1
Germany,Female,39.0,9,137843.8,1,117622.8,637,1,1,1
Germany,Male,38.0,2,103391.38,0,90878.13,550,1,1,0
Germany,Female,37.0,2,103769.22,1,194099.12,776,0,2,0
Germany,Male,44.0,10,116363.37,1,198059.16,698,0,2,0
